"año_cd"|"ccaa_cd"|"zbs_residencia_cd"|"n_poblacion"|"codatzbs"|"n_zbs"
"2022"|ES24|"5407"|20213|"20407"|ARRABAL
"2022"|ES24|"2520"|17175|"20520"|ROMAREDA - SEMINARIO
"2022"|ES24|"1113"|7147|"20113"|SARIÑENA
"2022"|ES24|"1205"|2038|"20205"|BENABARRE
"2022"|ES24|"4810"|977|"20810"|MOSQUERUELA
"2022"|ES24|"3613"|25190|"20623"|DELICIAS NORTE
"2022"|ES24|"2511"|28012|"20511"|TORRERO LA PAZ
"2022"|ES24|"3603"|9642|"20613"|BORJA
"2022"|ES24|"4903"|8584|"20903"|ANDORRA
"2022"|ES24|"4905"|4283|"20905"|CALANDA
"2022"|ES24|"2513"|37291|"20513"|SAGASTA-RUISEÑORES
"2022"|ES24|"3602"|16761|"20612"|LA ALMUNIA DE DOÑA GODINA
"2022"|ES24|"1111"|1195|"20111"|BERDUN
"2022"|ES24|"3703"|2505|"20703"|ATECA
"2022"|ES24|"3612"|26356|"20622"|DELICIAS SUR
"2022"|ES24|"3707"|1862|"20707"|MORATA DE JALON
"2022"|ES24|"2523"|19258|"20523"|FERNANDO EL CATOLICO
"2022"|ES24|"2524"|36593|"20524"|VALDESPARTERA-MONTECANAL
"2022"|ES24|"2519"|27246|"20519"|SAN JOSE SUR
"2022"|ES24|"4812"|2415|"20812"|SARRION
"2022"|ES24|"3303"|729|"20603"|SOS DEL REY CATOLICO
"2022"|ES24|"3702"|1320|"20702"|ARIZA
"2022"|ES24|"5413"|15613|"20413"|ACTUR OESTE
"2022"|ES24|"2510"|22475|"20510"|SAN PABLO
"2022"|ES24|"2522"|20502|"20522"|HERNAN CORTES
"2022"|ES24|"4815"|1159|"20815"|VILLEL
"2022"|ES24|"1206"|1354|"20206"|BERBEGAL
"2022"|ES24|"4911"|828|"20911"|MUNIESA
"2022"|ES24|"1211"|1028|"20211"|LAFORTUNADA
"2022"|ES24|"5411"|2617|"20254"|MEQUINENZA
"2022"|ES24|"1210"|5733|"20210"|GRAUS
"2022"|ES24|"1103"|3622|"20103"|BIESCAS-VALLE DE TENA
"2022"|ES24|"4912"|5152|"20912"|VALDERROBRES
"2022"|ES24|"1102"|1938|"20102"|AYERBE
"2022"|ES24|"2508"|18676|"20508"|MADRE VEDRUNA-MIRAFLORES
"2022"|ES24|"4901"|19013|"20901"|ALCAÑIZ
"2022"|ES24|"3302"|2694|"20602"|SADABA
"2022"|ES24|"3704"|4828|"20704"|CALATAYUD RURAL
"2022"|ES24|"3606"|7234|"20616"|GALLUR
"2022"|ES24|"3711"|1550|"20711"|SABIÑAN
"2022"|ES24|"3609"|7913|"20619"|CARIÑENA
"2022"|ES24|"2504"|2685|"20504"|SASTAGO
"2022"|ES24|"3618"|18620|"20628"|MIRALBUENO-GARRAPINILLOS
"2022"|ES24|"3710"|19443|"20710"|CALATAYUD URBANA
"2022"|ES24|"5414"|14652|"20414"|PARQUE GOYA
"2022"|ES24|"4806"|1098|"20806"|CEDRILLAS
"2022"|ES24|"5402"|2671|"20402"|BUJARALOZ
"2022"|ES24|"4907"|11163|"20907"|CASPE
"2022"|ES24|"1213"|18510|"20213"|MONZON URBANA
"2022"|ES24|"5401"|10395|"20401"|ALFAJARIN
"2022"|ES24|"1114"|16529|"20114"|HUESCA CAPITAL Nº 3 (PIRINEOS)
"2022"|ES24|"4805"|5686|"20805"|CALAMOCHA
"2022"|ES24|"1203"|4957|"20203"|ALBALATE DE CINCA
"2022"|ES24|"4814"|5548|"20814"|UTRILLAS
"2022"|ES24|"4811"|1419|"20811"|SANTA EULALIA DEL CAMPO
"2022"|ES24|"1202"|4527|"20202"|AINSA
"2022"|ES24|"2525"|3281|"20525"|CAMPO DE BELCHITE
"2022"|ES24|"4906"|1650|"20906"|CANTAVIEJA
"2022"|ES24|"3705"|3320|"20705"|DAROCA
"2022"|ES24|"5412"|18473|"20412"|ACTUR NORTE
"2022"|ES24|"3701"|2671|"20701"|ALHAMA DE ARAGON
"2022"|ES24|"4809"|3099|"20809"|MORA DE RUBIELOS
"2022"|ES24|"5408"|33501|"20408"|AVENIDA CATALUÑA
"2022"|ES24|"1204"|21686|"20204"|BARBASTRO
"2022"|ES24|"4807"|3681|"20807"|CELLA
"2022"|ES24|"2516"|23237|"20516"|TORRE RAMONA
"2022"|ES24|"2521"|10246|"20521"|CASABLANCA
"2022"|ES24|"5410"|23280|"20410"|ZALFONADA
"2022"|ES24|"4801"|2996|"20801"|ALBARRACIN
"2022"|ES24|"4808"|4439|"20808"|MONREAL DEL CAMPO
"2022"|ES24|"1107"|16833|"20107"|HUESCA CAPITAL Nº 1 (PERPETUO SOCORRO)
"2022"|ES24|"3304"|7959|"20604"|TAUSTE
"2022"|ES24|"3605"|11749|"20615"|EPILA
"2022"|ES24|"1110"|14061|"20110"|JACA
"2022"|ES24|"1209"|21722|"20209"|FRAGA
"2022"|ES24|"1208"|3927|"20208"|CASTEJON DE SOS
"2022"|ES24|"1104"|1238|"20104"|BROTO
"2022"|ES24|"2503"|12582|"20503"|FUENTES DE EBRO
"2022"|ES24|"4908"|3999|"20908"|MAELLA
"2022"|ES24|"3608"|18882|"20618"|UTEBO
"2022"|ES24|"1112"|9590|"20112"|SABIÑANIGO
"2022"|ES24|"3614"|15429|"20624"|BOMBARDA
"2022"|ES24|"1201"|921|"20201"|ABIEGO
"2022"|ES24|"1105"|4302|"20105"|GRAÑEN
"2022"|ES24|"4902"|4422|"20902"|ALCORISA
"2022"|ES24|"3616"|16542|"20626"|OLIVER
"2022"|ES24|"3706"|4970|"20706"|ILLUECA
"2022"|ES24|"3604"|16768|"20614"|CASETAS
"2022"|ES24|"4817"|18672|"20817"|TERUEL ENSANCHE
"2022"|ES24|"2518"|17969|"20518"|SAN JOSE CENTRO
"2022"|ES24|"4813"|19758|"20813"|TERUEL CENTRO
"2022"|ES12|"50406"|27647|"30406"|Z.B.S. IV.6 - OVIEDO - VENTANIELLES - COLLOTO/CUALLOTO
"2022"|ES12|"50501"|10479|"30501"|Z.B.S. V.1 - CARREÑO
"2022"|ES12|"50514"|17705|"30514"|Z.B.S. V.14 - GIJON - ROCES - MONTEVIL
"2022"|ES12|"50205"|787|"30223"|Z.E.S. 2.3 - DEGAÑA
"2022"|ES12|"50605"|5674|"30605"|Z.B.S. VI.5 - RIBADESELLA
"2022"|ES12|"50202"|12729|"30202"|Z.B.S. II.2 - CANGAS DEL NARCEA
"2022"|ES12|"50301"|19364|"30301"|Z.B.S. III.1 - AVILES - SABUGO
"2022"|ES12|"50509"|22098|"30509"|Z.B.S. V.9 - GIJON - EL COTO - CEARES/CIARES - VIESQUES
"2022"|ES12|"50805"|13006|"30805"|Z.B.S. VIII.5 - LAVIANA
"2022"|ES12|"50101"|3889|"30101"|Z.B.S. I.1 - VALDES - TREVIAS
"2022"|ES12|"50310"|12154|"30310"|Z.B.S. III.10 - AVILES - CENTRO
"2022"|ES12|"50410"|12823|"30410"|Z.B.S. IV.10 - NOREÑA - SIERO
"2022"|ES12|"50604"|7826|"30604"|Z.B.S. VI.4 - CANGAS DE ONIS - ONIS - AMIEVA
"2022"|ES12|"50102"|8025|"30102"|Z.B.S. I.2 - VALDES - L.LUARCA
