"n_zbs"|"codatzbs"|"ccaa_cd"|"mean_net_income_pc"|"mean_net_income_hh"|"mean_gini"|"mean_p80p20"|"sum_pobla"
"ABADINO-ELORRIO-BERRIZ"|"40301"|"ES21"|17534.9473684211|44254.2105263158|26.9578947368421|2.18947368421053|24022
"ABANILLA"|"90601"|"ES62"|11221|27806.3333333333|27.25|2.33333333333333|6105
"ABANTO-MUSKIZ"|"40501"|"ES21"|15866.1538461538|38803.7692307692|27.7230769230769|2.4|16607
"ABARAN"|"90901"|"ES62"|10842.1666666667|29091|27.1333333333333|2.24166666666667|12904
"ABEGONDO"|"110101"|"ES11"|13722.8|33949.2|25.28|2.16|10768
"ABENOJAR"|"150301"|"ES42"|10975.5|25517.25|27.75|2.225|2168
"ABETXUKO"|"40101"|"ES21"|13203|31191|28.75|2.55|3239
"ABIEGO"|"20201"|"ES24"|13832.2|31616.6|28.84|2.72|1198
"ABRANTES"|"161101"|"ES30"|11515.5238095238|32344.4761904762|31.1571428571429|2.82857142857143|31139
"ABRERA"|"665370"|"ES51"|15992.5714285714|43718.7142857143|24.3571428571429|2.08571428571429|11142
"ACACIAS-IMPERIAL-ANTONIO LEYVA"|"161102"|"ES30"|20915.05|49656.05|29.315|2.5325|55002
"ACEUCHAL"|"120220"|"ES43"|9222.25|22963.5|28|2.35|9412
"ACTUR NORTE"|"20412"|"ES24"|16106.5454545455|40637.2727272727|23.0909090909091|1.98181818181818|17182
"ACTUR OESTE"|"20413"|"ES24"|14569.2222222222|38403.2222222222|25.2333333333333|2.38888888888889|14316
"ACTUR SUR"|"20406"|"ES24"|17167.1|43081.2|23.68|2.05|14185
"ADEJE"|"70401"|"ES70"|10538.4117647059|29918.7647058824|32.6235294117647|2.88823529411765|45545
"ADELFAS"|"160101"|"ES30"|22998.8421052632|54186.1578947368|29.6789473684211|2.55789473684211|27873
"ADEMUZ"|"50601"|"ES52"|11929.1666666667|23969.1666666667|29.65|2.65|2213
"ADRA"|"12805"|"ES61"|9408.1875|25605.9375|28.48125|2.4|25055
"AGAETE"|"70101"|"ES70"|13246.5|32825.5|28.45|2.525|4180
"AGOST"|"51908"|"ES52"|8906.33333333333|22890|27.7666666666667|2.26666666666667|5034
"AGRAMUNT"|"605001"|"ES51"|13863.5|38309.625|28.325|2.4625|6728
"AGREDA"|"170801"|"ES41"|16188.25|34423.6666666667|27.1|2.2|3630
